NAME,ADDRESS,ZIP CODE,UNITS WITH INCOME/RENT LIMITS,HUD,SHA,STATE OF WA or COUNTY,WSHFC,CITY OF SEATTLE,YEAR PLACED IN SERVICE,COUNCIL DISTRICT
101 Broadway,840 E DENNY WAY,98122,9,,,,,X,2017,3
12th Avenue Arts,1606 12TH AVE,98122,86, , , ,X,X,2014,3
1309/1319 Dexter Ave ,1319 Dexter Ave N,98109,7,,,,,X,2017,7
13701 20th Ave NE,13701 20TH AVE NE,98125,4, , ,X, , ,2009,5
13736 Meridian Ave N,13736 MERIDIAN AVE N,98133,4, , , , ,X,2003,5
1715 12th Ave.,1715 12TH AVE,98122,7,,,,,X,2018,3
1715 Apartments,1715 NW 58TH ST,98107,9, , , , ,X,2015,6
1806 23rd Ave,1806 23RD AVE,98122,13, , , , ,X,2014,3
1811 Eastlake Supportive Housing,1811 EASTLAKE AVE,98101,75, , , ,X,X,2005,7
1812 12th Ave,1812 12TH AVE,98122,11, , , , ,X,2014,3
18TH AVENUE APARTMENTS,1543 18TH AVE S,98144,9,X, , , ,X,2002,2
2026 E Madison,2026 E MADISON ST,98122,32,,,,,X,2017,3
2500 E Union,2500 E UNION ST,98122,6, , , , ,X,1995,3
320 E Pine St,320 E PINE ST,98122,27, , , , ,X,2014,3
3904 MLK Way,3904 MARTIN LUTHER KING JR WAY S,98108,17, , , ,X,X,1986,2
410 Apartments,410 11TH AVE E,98102,6, , , , ,X,1995,3
412  APARTMENTS,412 25TH AVE S,98144,12,X, , , ,X,1994,3
47+7 Sustainable Living,4558 7TH AVE NE,98105,5, , , , ,X,2015,4
4730 California,4730 CALIFORNIA AVE SW,98116,15, , , , ,X,2015,1
4743 Studios,4743 21ST AVE NE,98105,9, , , , ,X,2014,4
507 Northgate,507 NE NORTHGATE WAY,98125,49, , , , ,X,2009,5
50th & Roosevelt Apartments,4750 ROOSEVELT WAY NE,98105,12, , , , ,X,2017,4
525 at the Enclave,525 NE NORTHGATE WAY,98125,54, , , , ,X,2015,5
708 Uptown,708 6TH AVE N,98109,24, , , , ,X,2012,7
714 Apartments,714 N 95TH ST,98103,9,,,,,X,2017,5
85th St Studios,143 NW 85TH ST,98117,8, , , , ,X,2015,6
8727 Phinney  Ave N,8727 PHINNEY AVE N,98103,8, , , , ,X,2015,5
9th & Pine Apartments,1601 9TH AVE,98101,15, , , , ,X,2015,7
Abbey Lincoln Court,2020 S JACKSON ST,98144,68, , , ,X,X,2016,3
Addison on Fourth,308 4TH AVE S,98104,250, , , ,X, ,2013,2
Admiral House,2614 42ND AVE SW,98116,15, , ,X, , ,2000,1
AJ,4505 42ND AVE SW,98116,11,,,,,X,2017,1
Aki Kurose I (Stone View),11500 STONE AVE N,98133,26, ,X, ,X,X,1999,5
Aki Kurose II,11520 STONE AVE N,98133,36, ,X, ,X,X,2000,5
Alaska House,4545 42ND AVE SW,98116,104, , , ,X, ,2004,1
Albion Place,3512 ALBION PL N,98103,12, , , , ,X,2004,4
Alder Crest Apartments,6520 35TH AVE SW,98126,35, ,X, ,X,X,2007,1
Alder Flats,220 10TH AVE,98122,19, , , , ,X,2013,3
ALDER HOUSE APARTMENTS,925 E ALDER ST,98122,42,X, , , , ,1969,3
Alex Jackson House,1901 WESTERN AVE,98101,40, , ,X,X,X,2017,7
Alma Gamble,525 25TH AVE S,98144,12,X, , , ,X,1999,3
Aloha Inn,1911 AURORA AVE N,98109,66, , , , ,X,1992,7
Altamira Apts,4100 SW ALASKA ST,98116,32, , , , ,X,2009,1
Alturra aPodments,306 SUMMIT AVE E,98102,12, , , , ,X,2012,3
Ambassador Condominiums,506 E HOWELL ST,98122,6, , , , ,X,1992,3
Angeline,4801 RAINIER AVE S,98118,39, , , , ,X,2015,2
Annapolis,1531 BELMONT AVE,98122,22, , , , ,X,1987,3
"Anthem (Yesler Terrace, outside MPC-YT)",103 12TH AVE,98122,30, ,, , ,X,2015,3
Aperture on Fifth,500 JOHN ST,98109,21, , , , ,X,2014,7
ARBOR HOUSE,8538 MARY AVE NW,98117,15,X, , , , ,1986,6
Argonaut Apartments and Argonaut House 2,539 23RD AVE S,98144,14,X, , , , ,2014,3
Aridell Mitchell Home,1502 E YESLER WAY,98122,6, , , , ,X,1991,3
Arion Court,1814 MINOR AVE,98101,37, , , , ,X,1994,7
Array,14027 LAKE CITY WAY NE,98125,64, , , , ,X,2014,5
Arrowhead Gardens,9200 2ND AVE SW,98106,443, , , ,X, ,2010,1
Ascona Apartments,200 5th AVE S,98104,12,,,,,X,2010,2
Augusta Apartments,4041 ROOSEVELT WAY NE,98105,42,,,,,X,2017,4
Aura West Seattle,4435 35TH AVE SW,98126,31, , , , ,X,2016,1
Aurora Supportive Housing,10507 AURORA AVE N,98133,87, , , ,X,X,2013,5
Avalon Ballard,1400 NW MARKET ST,98107,53, , , , ,X,2013,6
Avalon Mutual Housing,2980 SW AVALON WAY,98126,15, , , , ,X,2001,1
Avalon Place,2988 SW AVALON WAY,98126,16, , , , ,X,2011,1
Avalon Queen Anne,300 3RD AVE W,98119,41, , , , ,X,2012,7
Bailey-Boushay House,2720 E MADISON ST,98112,17, , , , ,X,1992,3
Bakhita Gardens-Rose of Lima & Noel House,118 BELL ST,98121,90, , , ,X,X,2010,7
"Baldwin Apartments (Yesler Terrace, outside MPC-YT)",1305 E FIR ST,98122,15, ,X, , , ,2014,3
Balfour Place,1820 MINOR AVE,98101,180, , , ,X, ,1993,7
Ballard House,2445 NW 57TH ST,98107,79, ,X, ,X, ,1969,6
Ballard House-CPC,7735 14TH AVE NW,98117,5, , , , ,X,1991,6
Ballard on the Park,2233 NW 58TH ST,98107,54, , , , ,X,2010,6
Ballard Public,2248 NW 64TH ST,98107,20, , , , ,X,2015,6
Barclay Broadway,412 BROADWAY,98122,24, , , , ,X,2012,3
Bart Harvey,430 MINOR AVE N,98109,49, , , ,X, ,2009,7
Barton Place,9201 RAINIER AVE S,98118,91, ,X, ,X, ,1971,2
BASE Capitol Hill,1728 12TH AVE,98122,7, , , , ,X,2014,3
"Batik (Yesler Terrace, MPC-YT)",123 BROADWAY,98104,39,,,,,X,2018,3
Bayview Tower,2614 4TH AVE,98121,100, ,X, , , ,1975,7
Beacon Hill House,1536 12TH AVE S,98144,5, , , , ,X,1991,2
Beacon House,1545 12TH AVE S,98144,6, ,X, , ,X,1994,2
Beacon Tower,1311 S MASSACHUSETTS ST,98144,108, ,X, ,X, ,1971,2
Bell Tower,2215 1ST AVE,98121,120, ,X, , , ,1970,7
Bellevue/Olive Apartments,1641 BELLEVUE AVE,98122,48, , , ,X,X,1995,3
Belltown Senior Apartments,2208 2ND AVE,98121,25, , , ,X,X,2003,7
Belmont-Boylston Apts,1411 BOYLSTON AVE,98122,16, , , , ,X,1990,3
Bergan Place Apartments,101 N 104TH ST,98133,37, , , , ,X,1998,6
Berneva,535 17TH AVE E,98112,12, , , , ,X,1992,3
Beryl,1200 E PIKE ST,98122,19, , , , ,X,2015,3
Bespoke Ballard,1506 NW 61ST ST,98107,7,,,,,X,2017,6
Bethlehem House,7132 35TH AVE SW,98126,5, , , , ,X,2000,1
Bitter Lake Manor - SSHP,620 N 130TH ST,98133,71, ,X, , ,X,2012,5
Bitterlake Facility (Moms Project),600 N 130TH ST,98133,44, , ,X, , ,1999,5
Blake,5020 CALIFORNIA AVE SW,98136,21, , , , ,X,2014,1
Blakeley Manor - SSHP,2401 NE BLAKELEY ST,98105,69, ,X, , ,X,2012,4
Booth Gardens,9722 8TH AVE NW,98117,16,X, , , ,X,1991,6
Borealis,109 DEXTER AVE N,98109,50,,,,,X,2008,7
Bowman Stone Way,3801 STONE WAY N,98103,55, , , , ,X,2016,4
Boxcar,975 JOHN ST,98109,29, , , , ,X,2013,7
Boylston Flats,1404 BOYLSTON AVE,98122,23,,,,,X,2017,3
Boylston-Howell,1726 BOYLSTON AVE,98122,30,X, , , ,X,1994,3
Bremer,2905 1ST AVE,98121,49, , , , ,X,1992,7
Brettler Family Housing,6800 62ND AVE NE,98115,51, , , ,X,X,2011,4
Brewster Apartments,133 PONTIUS AVE N,98109,35, , , , ,X,1996,7
Bridges at 11th,4557 11TH AVE NE,98105,37, , , , ,X,2015,4
Brierwood,11020 GREENWOOD AVE N,98133,23, , , , ,X,2010,5
"Brighton, The",6727 RAINIER AVE S,98118,10, , ,X, , ,1999,2
